epoch,train_loss,train_dice,val_loss,val_dice,lat_norm2
118,0.135325,0.9126,0.331148,0.7910,1.4126
119,0.141345,0.9082,0.297379,0.8040,1.6171
120,0.142640,0.9071,0.282894,0.8090,1.7158
121,0.161654,0.8953,0.287425,0.8041,1.5393
122,0.161939,0.8950,0.352864,0.7790,1.6951
123,0.169700,0.8899,0.283017,0.8123,1.6489
124,0.161977,0.8946,0.280295,0.8062,1.7845
125,0.147299,0.9024,0.338800,0.7871,1.5112
126,0.145277,0.9055,0.313988,0.7940,1.5401
127,0.141088,0.9082,0.261118,0.8221,1.2787
128,0.133870,0.9136,0.320796,0.7983,1.6695
129,0.131733,0.9142,0.288892,0.8075,1.7287
130,0.133438,0.9133,0.341165,0.7843,1.5666
131,0.127887,0.9166,0.335887,0.7882,1.7200
132,0.131341,0.9147,0.490165,0.7239,1.6544
133,0.148796,0.9033,0.409279,0.7568,1.5636
134,0.136857,0.9098,0.331413,0.7894,1.3978
135,0.142833,0.9068,0.348379,0.7801,1.7975
136,0.121539,0.9213,0.287095,0.8128,1.4376
137,0.121473,0.9220,0.312335,0.7987,1.6984
138,0.123809,0.9208,0.293426,0.8085,1.5542
139,0.124301,0.9204,0.287564,0.8113,1.4741
140,0.119238,0.9230,0.327923,0.7944,1.6815
141,0.119814,0.9229,0.363211,0.7790,1.6548
142,0.117507,0.9245,0.284114,0.8127,1.6969
143,0.116595,0.9250,0.322247,0.7967,1.6852
144,0.114054,0.9263,0.347839,0.7874,1.6001
145,0.117191,0.9243,0.348019,0.7871,1.5846
146,0.116797,0.9244,0.323236,0.7975,1.7034
147,0.114621,0.9264,0.293943,0.8098,1.7129
148,0.111750,0.9285,0.353097,0.7837,1.6305
149,0.128607,0.9167,0.378445,0.7760,1.5560
150,0.162560,0.8951,0.275519,0.8149,1.4626
151,0.137925,0.9100,0.341519,0.7874,1.6271
152,0.158064,0.8984,0.362172,0.7800,1.7552
153,0.134270,0.9120,0.314398,0.7990,1.5727
154,0.117471,0.9238,0.346051,0.7874,1.6444
155,0.110035,0.9293,0.296495,0.8063,1.5357
156,0.111776,0.9278,0.300120,0.8066,1.6129
157,0.111400,0.9284,0.320681,0.7976,1.5193
158,0.111961,0.9279,0.324894,0.7949,1.6466
159,0.118145,0.9233,0.324379,0.7922,1.8994
160,0.132751,0.9137,0.348154,0.7880,1.7685
161,0.120285,0.9221,0.288778,0.8093,1.6655
162,0.125934,0.9180,0.387458,0.7678,1.8471
163,0.129567,0.9161,0.389587,0.7753,1.5122
164,0.121265,0.9207,0.343370,0.7846,1.5956
165,0.117346,0.9234,0.313317,0.7979,1.6090
166,0.123478,0.9203,0.315345,0.7968,1.6878
167,0.142837,0.9076,0.290724,0.8091,1.7841
168,0.174073,0.8888,0.353423,0.7801,1.4710
169,0.156325,0.8978,0.314602,0.7973,1.5115
170,0.135374,0.9122,0.323538,0.7930,1.7466
171,0.114142,0.9264,0.362544,0.7770,1.5516
172,0.107145,0.9313,0.335537,0.7897,1.8098
173,0.104201,0.9332,0.390015,0.7709,1.8412
174,0.102158,0.9347,0.345826,0.7869,1.7123
175,0.105786,0.9322,0.375970,0.7786,1.5497
176,0.106552,0.9310,0.414694,0.7642,1.4581
177,0.108260,0.9304,0.341044,0.7885,1.7107
178,0.103652,0.9332,0.410800,0.7657,1.7217
179,0.102457,0.9345,0.375456,0.7810,1.7523
180,0.101325,0.9351,0.327050,0.8003,1.6008
181,0.103323,0.9335,0.312784,0.8039,1.5843
182,0.101226,0.9349,0.400243,0.7712,1.5882
183,0.100149,0.9356,0.368780,0.7805,1.4446
184,0.104868,0.9326,0.329949,0.7984,2.0574
185,0.115447,0.9256,0.315548,0.8054,1.6100
186,0.115955,0.9247,0.324192,0.7923,1.4630
187,0.108587,0.9290,0.356066,0.7838,1.7094
188,0.108932,0.9287,0.333014,0.7958,1.6582
189,0.099438,0.9357,0.308258,0.8015,1.5405
190,0.102418,0.9341,0.392929,0.7703,1.6551
191,0.119199,0.9228,0.421116,0.7642,1.6355
192,0.117196,0.9242,0.373805,0.7736,1.7875
193,0.115311,0.9250,0.327286,0.7963,1.6056
194,0.121864,0.9218,0.342145,0.7902,1.6582
195,0.109580,0.9288,0.295792,0.8086,1.8290
196,0.104980,0.9319,0.321187,0.7960,1.7489
197,0.107497,0.9302,0.440601,0.7544,1.7543
198,0.119326,0.9222,0.313817,0.7994,1.8207
199,0.117645,0.9229,0.365992,0.7786,1.6323
200,0.103245,0.9335,0.358901,0.7820,1.6433
201,0.105133,0.9327,0.447719,0.7563,1.7335
202,0.110631,0.9288,0.335390,0.7925,1.7691
203,0.109845,0.9288,0.327147,0.7959,1.6058
204,0.101311,0.9345,0.379567,0.7786,1.8410
205,0.100101,0.9355,0.343745,0.7904,1.7707
206,0.097388,0.9370,0.418797,0.7660,1.6557
207,0.094421,0.9395,0.334279,0.7925,1.7602
208,0.092874,0.9404,0.360191,0.7879,1.7882
209,0.097418,0.9374,0.330871,0.7973,1.7858
210,0.095349,0.9386,0.424859,0.7619,1.8369
211,0.098086,0.9367,0.312705,0.8040,1.7464
212,0.100168,0.9352,0.375873,0.7793,1.7191
213,0.104263,0.9329,0.430509,0.7650,1.8881
214,0.130629,0.9167,0.497565,0.7406,1.6711
215,0.114905,0.9251,0.298639,0.8163,1.5845
216,0.120089,0.9231,0.363231,0.7853,1.8710
217,0.134693,0.9142,0.379787,0.7757,1.7762
218,0.131563,0.9152,0.439881,0.7550,1.5658
219,0.110450,0.9285,0.391893,0.7688,1.6793
220,0.106070,0.9315,0.331119,0.7862,1.5789
